Rowid,Country,State lgd code,State,District lgd code,District,Year,District and taluk court case type,Pending cases for a period of 0 to 1 years,Pending cases for a period of 1 to 3 years,Pending cases for a period of 3 to 5 years,Pending cases for a period of 5 to 10 years,Pending cases for a period of 10 to 20 years,Pending cases for a period of 20 to 30 years,Pending cases over 30 years,Pending cases,Original pending cases,Pending appeal cases,Pending application cases,Pending execution cases,Cases pending at appearance or service-related stage,Cases pending at compliance or steps or stay stage,Cases pending at evidence or argument or judgement stage,Cases pending at pleadings or issues or charge stage,Cases instituted in last month,Cases disposed in last month,Cases filed by senior citizens,Cases filed by women,Cases delayed in disposal
1222,India,22,Chhattisgarh,376,Dantewada,2021,Civil,155.1161424,93.49466117,18.06146864,5.843416323,0,0,0,272.5156885,206.64445,7.437075321,0,58.43416323,100.4005168,30.27952095,92.96344151,48.34098958,13.28049164,23.37366529,21.24878663,79.68294986,78.62051053
1223,India,22,Chhattisgarh,376,Dantewada,2021,Criminal,775.580712,285.7961802,30.81074061,3.187317995,0,0,0,1095.374951,1029.503712,21.7800063,44.09123226,0,109.9624708,7.968294986,840.9207309,135.4610148,198.1449353,254.4542199,5.312196658,31.87317995,187.520542
1224,India,22,Chhattisgarh,376,Dantewada,2021,Total,930.6968544,379.2908414,48.87220925,9.030734318,0,0,0,1367.890639,1236.148162,29.21708162,44.09123226,58.43416323,210.3629876,38.24781594,933.8841724,183.8020044,211.425427,277.8278852,26.56098329,111.5561298,266.1410525
1225,India,22,Chhattisgarh,377,Dhamtari,2021,Civil,900,886,476,193,13,0,0,2468,1749,171,0,548,474,220,943,767,87,101,456,663,1316
1226,India,22,Chhattisgarh,377,Dhamtari,2021,Criminal,3262,2281,485,75,0,0,0,6103,5683,153,267,0,951,232,3559,1329,577,537,93,355,2006
1227,India,22,Chhattisgarh,377,Dhamtari,2021,Total,4162,3167,961,268,13,0,0,8571,7432,324,267,548,1425,452,4502,2096,664,638,549,1018,3322
1228,India,22,Chhattisgarh,378,Durg,2021,Civil,2911,2408,991,476,56,10,2,6854,5126,249,0,1477,2986,992,1928,754,313,494,778,1736,2237
1229,India,22,Chhattisgarh,378,Durg,2021,Criminal,13726,13744,7770,4195,154,19,1,39609,36255,326,3030,0,13638,2478,13747,9502,3832,5785,890,3135,18317
1230,India,22,Chhattisgarh,378,Durg,2021,Total,16637,16152,8761,4671,210,29,3,46463,41381,575,3030,1477,16624,3470,15675,10256,4145,6279,1668,4871,20554
1231,India,22,Chhattisgarh,379,Janjgir-Champa,2021,Civil,1040,1053,535,110,5,1,2,2746,2441,302,0,3,889,300,1180,308,165,225,800,475,1317
